id,name,address,lat,lng,source,category,price_level,rating,phone,status,created_at,updated_at,deleted_at
UUID(),Phở Gia Truyền,1 Bà Triệu, Q1, HCMC,10.7758,106.7002,USER_SUBMITTED,Phở,2,4.6,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Phở Lệ,25 Nguyễn Trãi, Q1, HCMC,10.7629,106.6934,USER_SUBMITTED,Phở,2,4.4,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Phở Thìn,10 Lò Đúc, Q1, HCMC,10.7825,106.6875,USER_SUBMITTED,Phở,2,4.5,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Phở Hàng Bè,123 Nguyễn Trãi, Q1, HCMC,10.7629,106.6934,USER_SUBMITTED,Phở,2,4.5,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Bún Bò Huế Lề Xá,50 Pasteur, Q1, HCMC,10.7762,106.6996,USER_SUBMITTED,Bún Bò Huế,2,4.3,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Bún Mắm Cô Ba,88 Đề Thám, Q1, HCMC,10.7645,106.6955,USER_SUBMITTED,Bún Mắm,3,4.2,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Bún Chả Hương,45 Lê Lợi, Q1, HCMC,10.7694,106.6992,USER_SUBMITTED,Bún Chả,2,4.3,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Bún Cá Lóc Bạn Tân,123 Lê Văn Sỹ, Q3, HCMC,10.7892,106.6856,USER_SUBMITTED,Bún Cá,2,4.1,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Cơm Tấm Kiều Giang,78 Pasteur, Q1, HCMC,10.7762,106.6996,USER_SUBMITTED,Cơm Tấm,1,4.1,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
UUID(),Cơm Sườn Bụi,15 Võ Văn Tần, Q3, HCMC,10.7869,106.6897,USER_SUBMITTED,Cơm,1,4.0,,APPROVED,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,
